address_neighborhood,pricingInfos_price,predict_price,variacao
Jardim Arpoador Zona Oeste,125299.0,0.0,-1.0
Jardim Arpoardor,363999.5,404429.0742996717,0.11107041163427889
Jardim Artur Alvim,182000.0,0.0,-1.0
Jardim Ataliba Leonel,304500.0,332882.29671451176,0.093209513019743
Jardim Augusto,266000.0,0.0,-1.0
Jardim Aurelia,371000.0,530462.7057166338,0.4298186137914659
Jardim Aurora,146300.0,0.0,-1.0
Jardim Aurélia,1557500.0,0.0,-1.0
Jardim Avelino,637000.0,653522.9008578118,0.02593861987097612
Jardim Avenida,185500.0,0.0,-1.0
Jardim Bandeirantes,125999.0,0.0,-1.0
Jardim Bandeirantes (Zona Norte),406000.0,0.0,-1.0
Jardim Batalha,371000.0,0.0,-1.0
Jardim Belem,161000.0,0.0,-1.0
Jardim Belém,210000.0,188509.03100882724,-0.1023379475770132
Jardim Bibi,1312500.0,0.0,-1.0
Jardim Boa Vista,185500.0,222265.0436705074,0.19819430550138772
Jardim Boa Vista (Zona Oeste),201250.0,0.0,-1.0
Jardim Bom Refúgio,150500.0,0.0,-1.0
Jardim Bonfiglioli,482999.0,379731.2018409018,-0.21380540779400825
Jardim Bonifacio,133350.0,181208.49492826115,0.35889385023067977
Jardim Botucatu,194250.0,278682.71316129004,0.43466004201436315
Jardim Brasil,280000.0,262021.40148231792,-0.06420928042029317
Jardim Brasil (Zona Norte),244999.0,289307.93546230346,0.18085353598301812
Jardim Brasil (Zona Sul),244999.0,0.0,-1.0
Jardim Brasilia,217000.0,187776.11470009873,-0.13467228248802432
Jardim Brasilia (Zona Leste),475999.0,198533.84597171078,-0.5829112120577757
Jardim Brasilia (Zona Norte),276500.0,0.0,-1.0
Jardim Brasília,154000.0,187776.11470009873,0.21932542013051126
Jardim Brasília (Zona Leste),287000.0,0.0,-1.0
Jardim Brasília (Zona Norte),224000.0,0.0,-1.0
Jardim Britania,46200000.0,0.0,-1.0
Jardim Britânia,329000.0,0.0,-1.0
Jardim Bélgica,626500.0,0.0,-1.0
Jardim Caboré,316750.0,285951.98521477747,-0.09723130161080518
Jardim Cabucu,21000000.0,0.0,-1.0
Jardim Cachoeira,336000.0,0.0,-1.0
Jardim Caguassu,280000.0,0.0,-1.0
Jardim Camargo Novo,348600.0,0.0,-1.0
Jardim Cambara,278250.0,0.0,-1.0
Jardim Campo Grande,1042999.0,771992.1787764924,-0.2598342100265749
Jardim Campo Limpo,525000.0,0.0,-1.0
Jardim Campos,281541.5,0.0,-1.0
Jardim Capelinha,155750.0,181586.58329932115,0.16588496500366712
Jardim Caravelas,892500.0,685396.8026492862,-0.2320484003929566
Jardim Carlu,329000.0,262413.74280114326,-0.20238983951020284
Jardim Carombe,196000.0,0.0,-1.0
Jardim Carombé,356999.5,226202.13883340926,-0.3663796760684279
Jardim Casa Pintada,132300.0,188509.03100882724,0.4248604006714076
Jardim Casablanca,174993.0,184751.6513700959,0.05576595275294394
Jardim Castelo,179550.0,218890.65462409877,0.21910695975549288
Jardim Catanduva,170800.0,198398.60333377152,0.16158432865205818
Jardim Catarina,385000.0,0.0,-1.0
Jardim Cecy,166250.0,0.0,-1.0
Jardim Celeste,199500.0,219464.88024186378,0.10007458767851518
Jardim Celia,105000.0,0.0,-1.0
Jardim Centenario,224000.0,227407.2384663536,0.01521088601050713
Jardim Centenário,208600.0,238737.56576613343,0.1444753871818476
Jardim Cidade Pirituba,419300.0,291910.04015350697,-0.3038157878523564
Jardim Cidalia,385000.0,0.0,-1.0
Jardim Cidália,416500.0,450536.2710271396,0.0817197383604793
Jardim Cinco de Julho,336000.0,0.0,-1.0
Jardim Claudia,198800.0,0.0,-1.0
Jardim Cláudia,230999.0,222265.0436705074,-0.037809498437190614
Jardim Coimbra,455000.0,172302.1192879344,-0.6213140235430014
Jardim Colombo,525000.0,410747.00672694104,-0.21762474909154084
Jardim Colonial,206499.5,0.0,-1.0
Jardim Colorado,244999.0,225516.92705047282,-0.07951898966741566
Jardim Consorcio,290500.0,0.0,-1.0
Jardim Consórcio,455000.0,376538.8902316561,-0.1724419994908657
Jardim Cordeiro,2800000.0,0.0,-1.0
Jardim Cotching,294000.0,0.0,-1.0
Jardim Cotiana,404250.0,0.0,-1.0
Jardim Cotinha,287000.0,0.0,-1.0
Jardim Cristal,270374.5,0.0,-1.0
Jardim Cruzeiro,595000.0,0.0,-1.0
Jardim Célia,79345.0,172927.27432595397,1.1794350535755749
Jardim D Abril,182000.0,0.0,-1.0
Jardim D'Abril,189000.0,233028.61976796895,0.23295566014798386
Jardim D'abril,194249.5,237706.18895077726,0.2237158342789931
Jardim Damasceno,96600.0,0.0,-1.0
Jardim Danfer,234499.0,191358.53158657602,-0.1839686668745879
Jardim Daysy,553000.0,0.0,-1.0
Jardim Dinorah,237999.0,0.0,-1.0
Jardim Dom Bosco,481599.0,474410.5894148036,-0.014926132706248096
Jardim Dom José,155750.0,164720.78725409257,0.05759734994601984
Jardim Dona Sinhá,150500.0,199205.17131826608,0.32362240078582105
Jardim Donaria,251999.0,0.0,-1.0
Jardim Dracena,258649.5,0.0,-1.0
Jardim Egle,266000.0,0.0,-1.0
Jardim Elba,235900.0,0.0,-1.0
Jardim Eledy,137550.0,174497.505501666,0.26861145402883313
Jardim Eliane,304500.0,0.0,-1.0
Jardim Elisa Maria,270199.5,0.0,-1.0
Jardim Elisio,840000.0,0.0,-1.0
Jardim Esmeralda,269500.0,273921.5329053796,0.01640643007562015
Jardim Ester,315000.0,322276.97891853575,0.023101520376303863
Jardim Ester Yoland,304500.0,0.0,-1.0
Jardim Ester Yolanda,328650.0,369610.68818123697,0.12463316044800532
Jardim Estrela D'alva,595000.0,0.0,-1.0
Jardim Etelvina,175000.0,182901.80293442385,0.045153159625279216
Jardim Europa,4200000.0,1566687.7420104605,-0.6269791090451284
Jardim Everest,2607500.0,0.0,-1.0
Jardim Felicidade,455000.0,0.0,-1.0
Jardim Felicidade (Zona Norte),203000.0,242579.38061079386,0.19497231827977268
Jardim Felicidade (Zona Oeste),378000.0,0.0,-1.0
Jardim Fernandes,349650.0,0.0,-1.0
Jardim Filhos da Terra,210000.0,0.0,-1.0
Jardim Flor de Maio,703499.5,0.0,-1.0
Jardim Floresta,1256500.0,0.0,-1.0
Jardim Fontalis,230999.0,0.0,-1.0
Jardim Fonte do Morumbi,910000.0,737500.0556217439,-0.18956037843764406
Jardim Fonte do Morumbi ,682500.0,634582.5632147925,-0.07020869858638457
Jardim Franca,1050000.0,452017.5227267946,-0.5695071212125766
Jardim Francisco Mendes,162750.0,0.0,-1.0
Jardim França,840000.0,0.0,-1.0
Jardim Germania,187250.0,0.0,-1.0
Jardim Germânia,174300.0,181866.10996955622,0.04340854830496976
Jardim Gilda Maria,308000.0,0.0,-1.0
Jardim Gonzaga,295050.0,0.0,-1.0
Jardim Grimaldi,336000.0,0.0,-1.0
Jardim Guairaca,252349.0,243936.44526393016,-0.03333698463663359
Jardim Guanca,489999.0,0.0,-1.0
Jardim Guapira,630000.0,0.0,-1.0
Jardim Guarani,294000.0,0.0,-1.0
Jardim Guarau,322000.0,0.0,-1.0
Jardim Guarujá,139965.0,0.0,-1.0
Jardim Guedala,2411500.0,556811.7581784767,-0.7691014894553279
Jardim Hebrom,1968399.0,0.0,-1.0
Jardim Helena,234499.0,0.0,-1.0
Jardim Helga,203000.0,171808.75474534865,-0.1536514544564106
Jardim Helian,227500.0,0.0,-1.0
Jardim Hercilia,350000.0,0.0,-1.0
Jardim Hipico,693000.0,0.0,-1.0
Jardim Iae,189000.0,0.0,-1.0
Jardim Ibiratiba,875000.0,0.0,-1.0
Jardim Ibitirama,244999.0,304510.56672548264,0.2429053454319514
Jardim Ideal,266000.0,0.0,-1.0
Jardim Iguatemi,100800.0,0.0,-1.0
Jardim Imbé,118999.0,167969.08575626527,0.4115167838071352
Jardim Imperador,315000.0,0.0,-1.0
Jardim Imperador (Zona Leste),225749.5,190911.8165555309,-0.15432009127138302
Jardim Imperial,174300.0,0.0,-1.0
Jardim Independencia,371000.0,388021.37133102654,0.04587970709171585
Jardim Independência,301000.0,335387.29899157165,0.11424351824442414
Jardim Ipanema,150901.0,173802.3725772709,0.15176422009974022
Jardim Ipanema (Zona Leste),278250.0,207262.05735312653,-0.2551228846248822
Jardim Ipanema (Zona Oeste),225749.5,196187.1964040588,-0.13095180098268744
Jardim Ipanema (Zona Sul),610750.0,0.0,-1.0
Jardim Ipanema(Zona Leste),315000.0,199911.49360913094,-0.36536033774879073
Jardim Iracema,182000.0,191410.76855904967,0.05170751955521791
Jardim Irene,73500.0,0.0,-1.0
Jardim Iris,230299.0,266045.02523815935,0.15521572059869704
Jardim Itacolomi,336000.0,0.0,-1.0
Jardim Itapema,217000.0,0.0,-1.0
Jardim Itapemirim,265930.0,184734.63680755364,-0.30532607525456457
Jardim Itapeva,308000.0,328482.41013212665,0.0665013315978138
Jardim Itapura,99931.0,0.0,-1.0
Jardim Itatinga,1190000.0,0.0,-1.0
Jardim Itália,910000.0,0.0,-1.0
Jardim Itápolis,251999.0,0.0,-1.0
Jardim Iva,255499.0,0.0,-1.0
Jardim Ivana,244999.0,336614.27866550407,0.3739414392120133
Jardim Jabaquara,521499.0,0.0,-1.0
Jardim Jacarandas,724500.0,620353.0777445938,-0.14375006522485323
Jardim Jamaica,525000.0,0.0,-1.0
Jardim Japao,244299.0,271147.87101762166,0.10990168202744033
Jardim Japão,385000.0,328815.5776162819,-0.14593356463303397
Jardim Jaqueline,230999.0,247230.7562230685,0.07026764714595535
Jardim Jaragua,230999.0,0.0,-1.0
Jardim Jaraguá,195650.0,190817.9484104943,-0.024697426984439996
Jardim Jaraguá (São Domingos),259699.0,0.0,-1.0
Jardim Jaçanã,332500.0,0.0,-1.0
Jardim Jaú (Zona Leste),280000.0,0.0,-1.0
Jardim Joamar,290500.0,0.0,-1.0
Jardim Joana D'Arc,156100.0,0.0,-1.0
Jardim Joao XXIII,248149.0,0.0,-1.0
Jardim João XXIII,294000.0,0.0,-1.0
